state,gender,education,age,n
Brandenburg,male,4,4,140260
Brandenburg,male,4,5,125420
Brandenburg,male,4,6,66860
Brandenburg,male,4,7,61460
Brandenburg,male,4,8,16910
Brandenburg,male,5,1,30
Brandenburg,male,5,2,13300
Brandenburg,male,5,3,33470
Brandenburg,male,5,4,61170
Brandenburg,male,5,5,72050
Brandenburg,male,5,6,62680
Brandenburg,male,5,7,52130
Brandenburg,male,5,8,14750
Bremen,female,-1,1,0
Bremen,female,-1,2,0
Bremen,female,-1,3,0
Bremen,female,-1,4,0
Bremen,female,-1,5,0
Bremen,female,-1,6,0
Bremen,female,-1,7,0
Bremen,female,-1,8,0
Bremen,female,0,1,0
Bremen,female,0,2,0
Bremen,female,0,3,0
Bremen,female,0,4,0
Bremen,female,0,5,0
Bremen,female,0,6,0
Bremen,female,0,7,0
Bremen,female,0,8,0
Bremen,female,2,1,13320
Bremen,female,2,2,9920
Bremen,female,2,3,7840
Bremen,female,2,4,10270
Bremen,female,2,5,10930
Bremen,female,2,6,11160
Bremen,female,2,7,16830
Bremen,female,2,8,12500
Bremen,female,4,1,1040
Bremen,female,4,2,24870
Bremen,female,4,3,17740
Bremen,female,4,4,25220
Bremen,female,4,5,21030
Bremen,female,4,6,19330
Bremen,female,4,7,17440
Bremen,female,4,8,8570
Bremen,female,5,1,100
Bremen,female,5,2,10290
Bremen,female,5,3,13420
Bremen,female,5,4,14470
Bremen,female,5,5,12780
Bremen,female,5,6,7950
Bremen,female,5,7,4020
Bremen,female,5,8,2570
Bremen,male,-1,1,0
Bremen,male,-1,2,0
Bremen,male,-1,3,0
Bremen,male,-1,4,0
Bremen,male,-1,5,0
Bremen,male,-1,6,0
Bremen,male,-1,7,0
Bremen,male,-1,8,0
Bremen,male,0,1,0
Bremen,male,0,2,0
Bremen,male,0,3,0
Bremen,male,0,4,0
Bremen,male,0,5,0
Bremen,male,0,6,0
Bremen,male,0,7,0
Bremen,male,0,8,0
Bremen,male,2,1,14090
Bremen,male,2,2,11530
Bremen,male,2,3,7930
Bremen,male,2,4,8570
Bremen,male,2,5,6250
Bremen,male,2,6,5590
Bremen,male,2,7,4990
Bremen,male,2,8,1790
Bremen,male,4,1,720
Bremen,male,4,2,26880
Bremen,male,4,3,20540
Bremen,male,4,4,26730
Bremen,male,4,5,22070
Bremen,male,4,6,18000
Bremen,male,4,7,17780
Bremen,male,4,8,5840
Bremen,male,5,1,60
Bremen,male,5,2,7790
Bremen,male,5,3,12610
Bremen,male,5,4,15660
Bremen,male,5,5,13940
Bremen,male,5,6,12000
Bremen,male,5,7,6460
Bremen,male,5,8,3230
Hamburg,female,-1,1,0
Hamburg,female,-1,2,0
Hamburg,female,-1,3,0
Hamburg,female,-1,4,0
Hamburg,female,-1,5,0
Hamburg,female,-1,6,0
Hamburg,female,-1,7,0
Hamburg,female,-1,8,0
Hamburg,female,0,1,0
Hamburg,female,0,2,0
Hamburg,female,0,3,0
Hamburg,female,0,4,0
Hamburg,female,0,5,0
Hamburg,female,0,6,0
Hamburg,female,0,7,0
Hamburg,female,0,8,0
Hamburg,female,2,1,31160
Hamburg,female,2,2,20070
Hamburg,female,2,3,18050
Hamburg,female,2,4,22220
Hamburg,female,2,5,20000
Hamburg,female,2,6,21080
Hamburg,female,2,7,28890
Hamburg,female,2,8,24410
Hamburg,female,4,1,4480
Hamburg,female,4,2,73180
Hamburg,female,4,3,49860
Hamburg,female,4,4,61320
Hamburg,female,4,5,49670
Hamburg,female,4,6,48990
Hamburg,female,4,7,46070
Hamburg,female,4,8,24740
Hamburg,female,5,1,190
Hamburg,female,5,2,35110
Hamburg,female,5,3,58290
Hamburg,female,5,4,52700
Hamburg,female,5,5,37400
Hamburg,female,5,6,21320
Hamburg,female,5,7,12460
Hamburg,female,5,8,6190
Hamburg,male,-1,1,0
Hamburg,male,-1,2,0
Hamburg,male,-1,3,0
Hamburg,male,-1,4,0
Hamburg,male,-1,5,0
Hamburg,male,-1,6,0
Hamburg,male,-1,7,0
Hamburg,male,-1,8,0
Hamburg,male,0,1,0
Hamburg,male,0,2,0
Hamburg,male,0,3,0
Hamburg,male,0,4,0
Hamburg,male,0,5,0
Hamburg,male,0,6,0
Hamburg,male,0,7,0
Hamburg,male,0,8,0
Hamburg,male,2,1,34430
Hamburg,male,2,2,22540
Hamburg,male,2,3,19760
Hamburg,male,2,4,19940
Hamburg,male,2,5,16840
Hamburg,male,2,6,12770
Hamburg,male,2,7,10780
Hamburg,male,2,8,4080
Hamburg,male,4,1,3590
Hamburg,male,4,2,66970
Hamburg,male,4,3,58470
Hamburg,male,4,4,67570
Hamburg,male,4,5,46820
Hamburg,male,4,6,43490
Hamburg,male,4,7,38290
Hamburg,male,4,8,14450
Hamburg,male,5,1,20
Hamburg,male,5,2,22040
Hamburg,male,5,3,51740
Hamburg,male,5,4,54830
Hamburg,male,5,5,37720
