state,gender,age,education,eher mehr,eher weniger,kein großer Unterschied,cohesion_c,n,incidence_rate,case_fatality_ratio,sub_national_hdi,health_index,income_index,educational_index
Brandenburg,male,5,4,1,0,2,1,3,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,5,5,0,2,0,0,2,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,6,2,2,1,1,2,4,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,6,4,1,0,0,1,1,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,6,5,2,3,9,2,14,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,7,2,2,0,2,2,4,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,7,4,1,0,0,1,1,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,7,5,0,0,3,0,3,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,8,2,2,0,2,2,4,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Brandenburg,male,8,5,2,0,0,2,2,135.67327264396076,4.988262910798122,0.914,0.936,0.879,0.927
Bremen,female,3,2,1,0,0,1,1,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,female,5,2,1,0,0,1,1,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,female,6,5,1,0,1,1,2,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,male,2,5,1,0,0,1,1,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,male,5,2,0,0,1,0,1,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,male,6,4,0,0,1,0,1,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Bremen,male,7,5,1,0,0,1,1,242.46470645079108,2.9589371980676327,0.951,0.926,0.964,0.965
Hamburg,female,1,4,1,0,0,1,1,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,2,5,0,0,1,0,1,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,3,2,0,1,0,0,1,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,3,5,0,0,1,0,1,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,4,2,2,0,0,2,2,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,4,4,0,1,0,0,1,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,4,5,0,0,3,0,3,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,5,2,1,0,0,1,1,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,5,5,0,1,0,0,1,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,6,2,1,0,0,1,1,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,7,2,3,0,1,3,4,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,7,5,0,0,1,0,1,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
Hamburg,female,8,2,1,0,0,1,1,281.01558838114056,5.005798221878624,0.975,0.943,1,0.983
